,Scientific Names,CommonName,Region,Country,Average_Weight,Status,HomeRange_ha,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky_areas,Habitat_Desert,Home_Range_log,AverageWeight_log,Locomotion_BOTH,Locomotion_T,DielActivity_D,DielActivity_N,TrophicGuild_Folivore,TrophicGuild_Frugivore,TrophicGuild_Gummivore,TrophicGuild_Insectivore,TrophicGuild_Omnivore
160,Cheirogaleidae Microcebus,Madame Berthe s Mouse Lemur,Madagascar,Madagascar,0.03,3,3.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.308332819650179,-3.506557897319982,0,0,0,1,0,0,0,0,1
161,Pitheciidae Plecturocebus,Madidi Titi,South America,Bolivia,0.95,0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423,-0.05129329438755058,0,0,1,0,0,1,0,0,0
162,Cercopithecidae Semnopithecus,Malabar Sacred Langur,South East Asia,India,13.1,2,12328.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.419628376999952,2.5726122302071057,1,0,1,0,1,0,0,0,0
163,Cercopithecidae Mandrillus,Mandrill,West Africa,Gabon,23.6,2,4000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.294049640102028,3.1612467120315646,0,1,1,0,0,0,0,0,1
164,Atelidae Alouatta,Mantled Howler,South America,Brazil,6.12,0,40.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.700066643504501,1.8115620965242347,0,0,1,0,1,0,0,0,0
165,Cercopithecidae Presbytis,Maroon Langur,South East Asia,Malaysia,6.13,0,66.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.189654742026425,1.81319474994812,0,0,1,0,0,0,0,0,0
166,Callitrichidae Saguinus,Martin s Bare faced Tamarin,South America,Brazil,0.5,0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,-0.6931471805599453,0,0,1,0,0,1,0,0,0
167,Pitheciidae Callicebus,Masked Titi,South America,Brazil,1.32,2,11.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4423470353692043,0.27763173659827955,0,0,1,0,0,1,0,0,0
168,Cercopithecidae Presbytis,Mentawai Langur,South East Asia,Indonesia,6.27,3,25.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.228826155721369,1.8357763546448294,0,0,1,0,0,0,0,0,0
169,Callitrichidae Saguinus,Midas Tamarin,South America,Guiana,0.56,0,36.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.597312260588446,-0.579818495252942,0,0,1,0,0,0,0,0,1
